segment,x,y
1,0.00,0.00
1,0.20,0.20
1,0.40,0.35
1,0.60,0.20
1,0.80,0.00

1,0.80,0.00
1,1.00,0.40
1,1.20,0.80
1,1.40,1.10
1,1.60,1.30
1,1.80,1.40
1,2.00,1.30
1,2.20,1.00
1,2.40,0.60
1,2.60,0.00

1,2.60,0.00
1,2.80,-0.20
1,3.00,-0.30
1,3.20,-0.20
1,3.40,0.00

1,3.40,0.00
1,3.60,0.30
1,3.80,0.60
1,4.00,0.70
1,4.20,0.60
1,4.40,0.30
1,4.60,0.00

1,4.60,0.00
1,4.80,-0.20
1,5.00,-0.30
1,5.20,-0.20
1,5.40,0.00

1,5.40,0.00
1,5.60,0.40
1,5.80,0.80
1,6.00,1.20
1,6.20,1.40
1,6.40,1.50
1,6.60,1.40
1,6.80,1.10
1,7.00,0.70
1,7.20,0.00

1,7.20,0.00
1,7.40,0.30
1,7.60,0.50
1,7.80,0.60
1,8.00,0.50
1,8.20,0.30
1,8.40,0.00

1,8.40,0.00
1,8.60,-0.20
1,8.80,-0.30
1,9.00,-0.20
1,9.20,0.00

1,9.20,0.00
1,9.40,0.20
1,9.60,0.35
1,9.80,0.20
1,10.00,0.00

1,10.00,0.00
1,10.20,0.50
1,10.40,1.00
1,10.60,1.50
1,10.80,1.90
1,11.00,2.20
1,11.20,2.40
1,11.40,2.50
1,11.60,2.40
1,11.80,2.10
1,12.00,1.60
1,12.20,1.00
1,12.40,0.40
1,12.60,0.00

1,12.60,0.00
1,12.80,-0.20
1,13.00,-0.30
1,13.20,-0.20
1,13.40,0.00

1,13.40,0.00
1,13.60,0.30
1,13.80,0.60
1,14.00,0.70
1,14.20,0.60
1,14.40,0.30
1,14.60,0.00

2,1.20,1.00
2,1.80,1.00
